Price,Year,Generation,Trim,Mileage,Distance,Seller
20845,2023,8,ST-3,2846,93,Private
18290,2023,8,ST-3,18981,193,Private
14990,2021,8,ST-3,49000,176,Private
18990,2022,8,ST-3,14917,187,Private
20163,2023,8,ST-3,10730,177,Private
19950,2022,8,ST-3,5512,31,Private
19495,2022,8,ST-3,14781,20,Private
19151,2023,8,ST-3,13973,167,Private
20000,2023,8,ST-3,8619,80,Private
11000,2016,7,ST-3,22538,86,Private
20995,2022,8,ST-3,4300,117,Private
17990,2020,8,ST-3,17000,163,Private
19399,2023,8,ST-3,16071,150,Private
16790,2019,8,ST-3,13531,116,Private
18990,2022,8,ST-3,14917,187,Private
19804,2023,8,ST-3,13200,63,Private
19290,2022,8,ST-3,16684,156,Private
19250,2022,8,ST-3,3456,185,Private
26995,2024,8,ST-3,69,183,Private
19140,2022,8,ST-3,12050,147,Private
18990,2022,8,ST-3,14917,187,Private
7495,2016,7,ST-3,56539,251,Private
19990,2023,8,ST-3,14625,156,Private
7999,2016,7,ST-3,57533,153,Private
19326,2022,8,ST-3,13898,168,Private
17989,2021,8,ST-3,25000,165,Private
5195,2016,7,ST-3,94000,170,Private
19430,2022,8,ST-3,5000,169,Private
20399,2023,8,ST-3,10320,108,Private
18900,2022,8,ST-3,13988,50,Private
18699,2022,8,ST-3,10393,110,Private
18999,2022,8,ST-3,10026,180,Private
16550,2020,8,ST-3,20682,105,Private
21990,2023,8,ST-3,5041,156,Private
21498,2022,8,ST-3,1717,111,Private
19295,2022,8,ST-3,11278,71,Private
17989,2021,8,ST-3,25000,165,Private
19350,2023,8,ST-3,14861,55,Private
20899,2022,8,ST-3,7982,17,Private
8250,2015,7,ST-3,56603,254,Private
18400,2022,8,ST-3,21106,102,Private
21599,2023,8,ST-3,5080,185,Private
7200,2015,7,ST-3,68600,336,Private
18700,2022,8,ST-3,20518,164,Private
19500,2023,8,ST-3,12237,151,Private
11495,2017,7,ST-3,26500,101,Private
10490,2018,8,ST-3,85820,174,Private
20595,2023,8,ST-3,9345,23,Private
19360,2023,8,ST-3,15023,185,Private
13690,2018,8,ST-3,41000,221,Private
20999,2022,8,ST-3,5364,31,Private
7500,2016,7,ST-3,64000,96,Private
18488,2022,8,ST-3,16908,132,Private
20000,2022,8,ST-3,17356,126,Private
9997,2016,7,ST-3,38000,122,Private
18995,2023,8,ST-3,9278,190,Private
12494,2019,8,ST-3,56006,184,Private
21990,2023,8,ST-3,2636,140,Private
18990,2022,8,ST-3,14917,187,Private
17989,2021,8,ST-3,25000,165,Private
19995,2022,8,ST-3,18505,175,Private
21498,2023,8,ST-3,7514,180,Private
20349,2023,8,ST-3,6536,116,Private
19210,2023,8,ST-3,7929,166,Private
19995,2023,8,ST-3,14128,108,Private
19699,2023,8,ST-3,9341,135,Private
7000,2015,7,ST-3,67000,169,Private
10195,2017,7,ST-3,61000,112,Private
20992,2023,8,ST-3,10613,51,Private
17989,2021,8,ST-3,25000,165,Private
18755,2022,8,ST-3,22100,186,Private
16500,2018,8,ST-3,13600,169,Private
6495,2015,7,ST-3,84500,350,Private
22498,2023,8,ST-3,4353,150,Private
19495,2022,8,ST-3,10436,324,Private
8995,2015,7,ST-3,53500,345,Private
18999,2022,8,ST-3,18517,173,Private
17995,2023,8,ST-3,11549,189,Private
20950,2023,8,ST-3,5475,171,Private
14645,2019,8,ST-3,37386,248,Private
18990,2022,8,ST-3,14917,187,Private
20998,2023,8,ST-3,10397,167,Private
19597,2023,8,ST-3,9127,158,Private
19650,2023,8,ST-3,16830,250,Private
